135159	20686
142677	19512
130771	21350
136569	20393
133897	20834
137361	20282
139479	19891
124101	22194
129089	21641
125774	21861
131488	21236
137349	20312
134614	20720
133127	21041
135307	20541
132448	21100
139265	19952
138896	19980
138762	20005
128699	21732
129624	21629
129843	21585
124433	22037
125490	21969
128195	21738
136024	20427
131865	21189
133465	20943
133717	20898
130606	21502
133165	20986
137306	20337
140024	19857
144130	19123
130409	21531
124245	22079
123780	22203
121685	22435
124149	22145
129812	21587
124228	22117
128949	21682
134182	20829
134434	20784
135091	20696
132582	21075
135770	20496
140889	19598
135636	20521
139441	19946
144872	19097
142288	19525
145392	18975
170534	17660
167786	17749
173359	17536
171535	17616
179246	17280
173989	17525
181141	17241
178393	17330
177392	17374
176539	17424
130720	21483
121497	22477
126827	21821
122983	22227
124999	22023
122439	22379
122887	22293
130566	21531
132328	21144
141643	19542
139956	19867
140172	19712
137447	20246
132194	21169
149237	18768
150400	18614
146146	18919
146134	18949
143768	19341
147813	18852
162918	17994
172289	17560
174378	17525
176825	17403
175972	17453
182866	17155
125565	21969
127581	21765
121946	22417
130031	21543
132911	21055
142905	19394
138201	20190
138330	20114
141434	19564
136730	20360
146888	18893
151142	18588
149646	18670
147900	18800
149602	18703
174615	17512
174644	17463
181796	17179
184490	17148
190302	17007
188808	17024
60124	36089
96624	25652
137992	20212
148642	18774
150388	18644
154610	18342
152067	18547
150356	18647
152023	18580
187738	17048
181572	17232
177796	17373
180118	17244
175999	17445
172223	17586
191657	16989
185845	17130
198273	16799
199498	16771
61237	35654
99056	25220
97312	25502
158100	18227
155352	18316
152809	18521
159478	18097
153856	18398
159113	18153
152110	18528
186984	17104
187514	17101
186060	17113
187554	17096
195407	16872
196632	16844
60981	35778
101606	24903
99862	25185
162968	17982
160220	18071
154598	18372
164952	17878
158724	18153
163981	17908
156277	18275
158359	18209
161534	18030
152852	18502
193983	16939
63882	34748
159466	18127
165694	17852
157019	18249
167373	17755
163227	17964
161145	18030
166402	17785
153800	18472
162276	18004
194523	16918
192628	16957
61777	35199
161887	18004
167144	17759
168115	17729
169051	17690
163794	17935
162505	18000
170022	17660
63373	34824
61257	35502
63002	35040
169793	17664
170764	17634
164548	17879
63241	34859
63918	34739
64086	34592
66993	33500
165290	17853
169039	17720
63786	34774
63954	34627
64474	34324
64662	33966
65079	33824
62852	35099
53226	38555
26215	75966
65375	33734
69024	32536
67450	33053
65792	33592
64209	34413
25905	78002
67033	33195
68698	32664
69745	32442
67023	33493
66756	33546
54893	37961
53383	38405
53636	38382
25274	81484
25167	82181
25596	79745
25909	77911
68607	32678
67985	32896
53000	38585
54877	38007
25058	82196
25205	82050
26541	74803
26199	76544
25600	79654
25705	78654
68281	32806
70224	32222
52893	39046
52937	38686
52422	39234
59111	36374
55050	37811
24989	82762
26357	74877
26015	76618
25946	77822
25808	78487
72139	31887
72787	31639
67568	33038
70945	32128
71455	32123
59656	36289
57770	36786
57358	36995
