53957	46473
22339	131808
61874	39993
52593	47201
38923	68396
27884	99231
23875	121296
24868	116240
21295	135905
21099	137423
19446	159987
16220	196937
16198	212259
15140	220640
203256	15196
185192	17728
159597	17945
128579	20409
71063	34221
54803	44993
39696	67419
26473	99755
25249	111613
190904	17071
132533	20234
162956	17791
135457	18434
121885	20993
115330	21668
87380	26262
81485	30706
75272	31586
77199	31350
71305	31662
65277	35521
60737	41072
62793	38290
59085	41681
54626	45859
50980	48216
41059	62181
43333	59974
40885	62785
30848	79269
32788	76266
29973	92523
26125	104699
20544	144092
20487	149412
16454	165545
97034	26034
48270	52844
22556	122790
25014	113597
107509	22925
68129	35420
62712	38962
60596	41301
50246	50564
45567	56318
37861	71903
34526	73163
21886	134381
